,player_id,player_name,country,type
0,931581,Rishabh Pant,india,Batter
1,219889,David Warner,australia,Batter
2,1070168,Prithvi Shaw,india,Batter
3,1292498,Yash Dhull,india,Batter
4,581379,Shai Hope,westindies,Batter
5,1403198,Swastik Chhikara,india,Batter
6,1277545,Abishek Porel,india,Batter
7,911707,Harry Brook,england,Batter
8,642531,Ricky Bhui,india,Batter
9,1207295,Kumar Kushagra,india,Batter
10,595978,Tristan Stubbs,southafrica,Batter
11,554691,Axar Patel,india,All Rounder
12,1060363,Lalit yadav,india,All Rounder
13,272450,Mitchell Marsh,australia,All Rounder
14,820393,Sumit Kumar,india,All Rounder
15,777515,Pravin Dubey,india,Bowler
16,1292520,Vickey Ostwal,india,Bowler
17,481979,Anrich Nortje,southafrica,Bowler
18,559235,Kuldeep Yadav,india,Bowler
19,542023,Lungi Ngidi,southafrica,Bowler
20,942645,Khaleel Ahmed,india,Bowler
21,236779,Ishanth Sharma,india,Bowler
22,774223,Jhye Richardson,australia,Bowler
23,279677,Mukesh Kumar,india,Bowler
24,1161489,Rasikh Dar,india,Bowler
25,28081,MS DHONI,india,Batter
26,379140,DEVON CONWAY,newzealand,Batter
27,1060380,RUTURAJ GAIKWAD,india,Batter
28,277916,AJINKYA RAHANE,india,Batter
29,1292497,SHAIK RASHEED,india,Batter
30,1175489,SAMEER RIZVI,india,Batter
31,1408675,AVINASHI RAO ARAVELLY,india,Batter
32,234675,Ravindara Jadeja,india,All rounder
33,502714,Mitchell Santer,newzealand,All rounder
34,8917,Moeen Ali,england,All rounder
35,714451,Shivam Dube,india,All rounder
36,1292506,Nishanth Sindhu,india,All rounder
37,1059570,Ajay Mandal,india,All rounder
38,959767,Rachin Ravindra,newzealand,All rounder
39,475281,Shardul Thakur,india,All rounder
40,381743,Dary Mitchell,newzealand,All rounder
41,1175429,Rajvardhan Hangargekar,india,Bowler
42,447261,Deepak Chahar,india,All rounder
43,1138316,Maheesh Theekshana,srilanka,Bowler
44,1125688,Mukesh Choudhary,india,Bowler
45,330902,Mustafizur Rahman,bangladesh,Bowler
46,1252337,Prashant Solanki,india,Bowler
47,1159722,Simarjeet Singh,india,Bowler
48,822553,Tushar Deshpande,india,Bowler
49,1194795,Matheesha Pathirana,srilanka,Bowler
50,379484,David Miller,australia,Batter
51,1070173,Shubman Gill,india,Batter
52,230193,Matthew wade,australia,Batter
53,279810,Wriddhiman Saha,india,Batter
54,1350762,Robin minz,india,Batter
55,277906,Kane Williamson,newzealand,Batter
56,778963,Abhinav Manohar,india,All rounder
57,1392886,B.Sai Sudharsan,india,All rounder
58,1111917,Darshan Nalkande,india,All rounder
59,33930,Vijay Shankar,india,All rounder
60,819429,Azmatullah Omarzai,afghanistan,All rounder
61,719719,Sharukh Khan,india,All rounder
62,447587,Jayant Yadav,india,All rounder
63,423838,Rahul Tewatia,india,All rounder
64,481896,Mohammad shami,india,Bowler
65,1122918,Kartik Tyagi,india,Bowler
66,1175457,Sushant Mishra,india,Bowler
67,1123718,Spencer Johnson,australia,Bowler
68,819401,Noor Ahmad,afghanistan,Bowler
69,1048739,Sai Kishore,india,Bowler
70,376116,Umesh Yadav,india,Bowler
71,25923,Rashid khan,afghanistan,Bowler
72,928067,Joshua Little,ireland,Bowler
73,422708,Mohit Sharma,india,Bowler
74,1175426,Manav Suthra,india,Bowler
75,604527,Nitish Rana,india,All rounder
76,723105,Rinku Singh ,india,Batter
77,974087,Rahmanullah Gurbaz,afghanistan,Batter
78,642519,Shreyas Iyer,india,Batter
79,914541,Sherfane Rutherford,westindies,Batter
80,529436,K S Bharat ,india,Batter
81,32417,Manish Pandey ,india,Batter
82,298438,Jason Roy,england,Batter
83,1292495,AngKrish Raghuvanshi,india,Batter
84,1079839,Ankul Roy,india,All rounder
85,1079470,Ramandeep Singh,india,All rounder
86,276298,Andre Russell,westindies,All rounder
87,851403,Venkatesh Iyer,india,Batter
88,1350792,Suyash sharma,india,Bowler
89,974109,Mujeeb Ur Rahman,afghanistan,Bowler
90,1039481,Gus Atkinson,england,Bowler
91,1340422,Sakib Hussian,india,Bowler
92,1312645,Harshith Rana,india,Bowler
93,230558,Sunil Narine,westindies,Bowler
94,1209292,Vaibhav Arora ,india,Bowler
95,1108375,Varun Chakaravarthy,india,Bowler
96,311592,Mitchell starc,australia,Bowler
97,1131754,Chetan Sakariya,india,Bowler
98,422108,KL Rahul,india,Batter
99,1119026,DevDutt Padikal,india,Batter
100,379143,Quinton De Kock,southafrica,Batter
101,604302,Nicholas Pooran,westindies,Batter
102,500268,Ashton Turner,australia,Batter
103,1151270,Ayush Badoni,india,All rounder
104,497121,Deepak Hooda,india,All rounder
105,424377,Krishnappa Gowtham,india,All rounder
106,471342,Krunal Pandya,india,All rounder
107,348056,Kyle Mayers,westindies,All rounder
108,325012,Marcus Stonis,australia,All rounder
