,player_id,player_name,country,type
178,1079434,Riyan parag,india,Batter
179,1339031,Kunal Rathore,india,Batter
180,698315,Donovan Ferreira,southafrica,Batter
181,820351,Rovan Powell,westindies,Batter
182,1252585,Shubham Dubey,india,Batter
183,470633,Tom Kohler-CadMore,england,Batter
184,26421,Ravichandran Ashwin,india,All rounder
185,1201536,Abid Mushtaq,india,All rounder
186,694211,Avesh Khan ,india,Bowler
187,1163695,Kuldeep Sen,india,Bowler
188,700167,Navdeep Sain,india,Bowler
189,917159,Prasidh Krishna,india,Bowler
190,34838,Sandeep Sharma,india,Bowler
191,277912,Trent Boult,newzealand,Bowler
192,430246,Yuzvendra Chahal,india,Bowler
193,379504,Adam Zampa,australia,Bowler
194,971349,Nandre Burger,southafrica,Bowler
195,44828,Faf Du plessis,southafrica,Batter
196,823703,Rajat Patidar,india,Batter
197,253802,Virat Kohli,india,Batter
198,1123073,Anuj Rawat,india,Batter
199,30045,Dinesh Karthik,india,Batter
200,1083851,Suyash Prabhudessai,india,Batter
201,897549,Will jacks,england,Batter
202,1287369,SauravChuahan,india,Batter
203,325026,GlenMaxwell,australia,All rounder
204,853265,Mahipal Lomror,india,All rounder
205,30288,Karn sharma,india,All rounder
206,1076713,Cameron Green,australia,All rounder
207,232292,Swapnil Singh,india,All rounder
208,942367,Mayank Dagar,india,All rounder
209,1057399,Manoj Bhandage,india,All rounder
210,1176959,Akash Deep,india,Bowler
211,670031,Alzarri Joseph,westindies,Bowler
212,493773,Lockie Ferguson,newzealand,Bowler
213,940973,Mohammed Siraj,india,Bowler
214,1159720,Yash dayal,india,Bowler
215,550235,Tom curran,england,Bowler
216,461632,Reece Topley,england,Bowler
217,714593,Himanshu Sharma,india,Bowler
218,777815,Vyshak Vijay Kumar,india,Bowler
219,1339027,Rajan Kumar,india,Bowler
220,1282257,Abdul Samad,hkg,Batter
221,600498,Aiden Markram,southafrica,Batter
222,446763,Rahul Tripathi,india,Batter
223,823509,Glenn Phillips,newzealand,Batter
224,398438,Mayank Agarwal,india,Batter
225,436757,Heinrich Klaasen,southafrica,Batter
226,851261,Anmolpreet Singh ,india,Batter
227,732269,Upendra singh yadav,india,Batter
228,1175496,Nitish Kumar Reddy,india,Batter
229,530011,Travis Head,australia,Batter
230,1070183,Abhishek Sharma,india,All rounder
231,696401,Macro Jansen,southafrica,All rounder
232,719715,Washington sundar,india,All rounder
233,1132219,Sanvir singh,india,All rounder
234,784379,Wanindu Hasaranga,srilanka,All rounder
235,919531,Jhathavedh Subramanyan,hkg,Bowler
236,1163666,Akash Singh,india,Bowler
237,1159711,Shahbaz Ahamad,india,Bowler
238,326016,BhuvneshKumar,india,Bowler
239,974175,Fazalhaq FarooQI,afghanistan,Bowler
240,390484,Jaydev Unadkat,india,Bowler
241,802575,T Natrajan,india,Bowler
242,1246528,Umran Malik ,india,Bowler
243,1081442,Mayank Markande,india,Bowler
244,489889,Pat Cummins ,australia,Bowler
