,player_id,match_id,dismissal
0,793457,1357695,lbw
1,974087,1357695,caught
2,921509,1357695,caught
3,420402,1357695,caught
4,793467,1357695,caught
5,819429,1357695,caught
6,793457,1412549,caught
7,974087,1412549,caught
8,921509,1412549,caught
9,1241277,1412550,caught
10,1178586,1412550,caught
11,1209110,1412550,caught
12,1411891,1412550,run out
13,1212829,1412550,bowled
14,1241265,1412550,caught
15,1294144,1412550,bowled
16,1241277,1412551,stumped
17,1058989,1412551,bowled
18,1178586,1412551,lbw
19,1411891,1412551,caught
20,1294144,1412551,bowled
21,1209110,1412551,bowled
22,1212829,1412551,caught
23,1241265,1412551,bowled
24,681067,1412551,caught
25,1178586,1357694,bowled
26,1241277,1357694,lbw
27,474760,1357694,run out
28,1209110,1357694,lbw
29,1241265,1357694,run out
30,1241277,1357696,caught
31,1178586,1357696,caught
32,1209110,1357696,lbw
33,307808,1357696,lbw
34,474760,1357696,run out
35,1196500,1357696,bowled
36,51439,702141,caught
37,53115,702143,run out
38,775015,1190767,caught
39,1098903,1190767,caught
40,892749,1190767,caught
41,1156688,1190767,caught
42,318713,1190767,caught
43,775019,1190767,caught
44,307692,1190767,caught
45,633660,1190773,caught
46,320755,1190773,caught
47,868003,1190773,caught
48,307638,1190773,caught
49,307639,1190773,stumped
50,348125,1190773,caught
51,307640,1190773,caught
52,633638,1190773,caught
53,1037565,1190773,bowled
54,226156,1190773,caught
55,775015,1190776,caught
56,1098903,1190776,caught
57,892749,1190776,caught
58,1156688,1190776,caught
59,318713,1190776,caught
60,973799,1190776,bowled
61,775015,1201681,caught
62,1098903,1201681,bowled
63,1156688,1201681,lbw
64,775015,1201682,run out
65,1098903,1201682,caught
66,892749,1201682,caught
67,772311,1201682,caught
68,1156688,1201682,caught
69,973799,1201682,bowled
70,1048901,1201682,caught
71,746453,1201682,run out
72,554068,1201682,caught
73,775015,1201685,caught
74,1098903,1201685,caught
75,892749,1201685,caught
76,772311,1201685,run out
77,1156688,1201685,caught
78,973799,1201685,run out
79,452540,1201685,caught
80,775015,1199499,caught
81,1098903,1199499,bowled
82,892749,1199499,bowled
83,772311,1199499,bowled
84,1156688,1199499,caught
85,973799,1199499,bowled
86,364150,1199510,caught
87,307231,1199510,bowled
88,474648,1199510,run out
89,630174,1199510,caught
90,334250,1199510,bowled
91,649015,1199510,caught
92,364148,1199510,caught
93,892749,1199518,bowled
94,1098903,1199518,caught
95,772311,1199518,caught
96,1156688,1199518,caught
97,452540,1199518,caught
98,973799,1199518,bowled
99,1048901,1199518,lbw
100,1195245,1199518,bowled
101,746453,1199518,caught
102,554068,1199518,bowled
103,307775,1199522,caught
104,1098903,1199522,caught
105,892749,1199522,caught
106,772311,1199522,caught
107,1156688,1199522,caught
108,452540,1199522,caught
109,973799,1199522,caught
110,1048901,1199522,caught
111,554068,1199522,bowled
112,1048901,1217742,caught
113,1098903,1217742,caught
114,1048891,1217742,bowled
115,1048901,1217745,bowled
116,1098903,1217745,bowled
117,892749,1217745,bowled
118,775015,1217745,caught
119,1048891,1217745,run out
120,319758,440224,stumped
121,362603,440224,lbw
122,419873,440224,caught
123,318334,440224,caught
124,320652,440224,caught
125,25913,440224,caught
126,318339,440224,caught
127,311427,440224,caught
128,319746,440224,stumped
129,414248,440219,run out
130,361952,440219,caught
131,23826,440219,bowled
132,23797,440219,bowled
133,51738,440219,caught
134,41224,440219,run out
135,319758,439495,bowled
136,419873,439495,run out
137,318339,439495,run out
138,387420,439495,run out
139,318340,439500,bowled
140,319758,439500,bowled
141,362603,439500,caught
142,419873,439500,caught
143,318334,439500,bowled
144,25913,439500,caught
145,318339,439500,caught
146,308794,546418,lbw
147,219885,546418,run out
148,245166,546418,caught
149,318339,546443,run out
150,387420,546443,run out
151,319758,592272,caught
152,318334,592272,caught
153,419873,660107,caught
154,318334,660107,caught
155,319758,660107,caught
156,318339,660107,caught
157,362603,660107,caught
158,25913,660107,caught
159,524049,660107,bowled
160,352048,660107,caught
161,319746,660107,bowled
162,402245,660107,run out
163,419873,660123,caught
164,318334,660123,caught
165,318340,660123,bowled
166,25913,660123,caught
167,352048,660123,caught
168,319758,660123,bowled
169,419873,660203,caught
170,319758,660203,caught
171,318340,660203,lbw
172,318334,660203,caught
173,25913,660203,caught
174,318339,660203,run out
175,524049,660203,caught
176,362603,660203,caught
177,387420,660203,caught
178,585083,875551,bowled
179,585081,875551,run out
180,318615,875551,caught
181,307756,875551,caught
182,455463,875551,caught
183,42876,875551,bowled
184,888565,875551,run out
185,387046,875551,caught
186,41984,875551,caught
187,24609,1074958,lbw
188,24616,1074958,lbw
189,950303,1074962,caught
190,420419,1188379,caught
191,643197,1188379,caught
192,470699,1188379,caught
193,1036191,1188379,bowled
194,44407,1188379,caught
195,1127317,1188379,caught
196,420419,1188380,caught
197,643197,1188380,caught
198,470699,1188380,caught
199,44407,1188380,caught
200,526481,1188380,caught
201,47850,1188380,caught
202,1127317,1188380,caught
203,1104703,1188380,run out
204,293831,1310938,bowled
205,938959,1310938,caught
206,299572,1310938,lbw
207,951781,1310938,caught
208,293831,1310939,bowled
209,938959,1310939,run out
210,55412,1310939,caught
211,392945,1310939,run out
212,299572,1310939,bowled
213,951781,1310939,bowled
214,1122853,1310939,bowled
215,541224,1310939,caught
216,938959,1310941,run out
217,465327,1310941,lbw
218,55412,1310941,caught
219,293831,1310941,stumped
220,299572,1310941,caught
221,1122853,1310941,caught
222,235516,1310941,caught
223,541224,1310941,run out
224,316102,1310942,run out
225,833777,1310942,caught
226,1071473,1310942,bowled
227,519070,1310942,caught
228,596664,1310942,caught
229,221140,1310942,bowled
230,482478,1310942,stumped
231,308410,1310942,lbw
232,293831,1321465,run out
233,55412,1321465,caught
234,938959,1321465,caught
235,55870,1321465,caught
236,299572,1321465,caught
237,55412,1321469,caught
238,293831,1321469,run out
239,55870,1321469,bowled
240,938959,1321469,lbw
241,299572,1321469,caught
242,951781,1321469,caught
243,495964,1321469,caught
244,571703,1321469,caught
245,293831,1321475,caught
246,55412,1321475,caught
247,55870,1321475,caught
248,465327,1321475,lbw
249,495964,1321475,caught
250,541224,1321475,bowled
251,293831,1321479,lbw
252,55412,1321479,caught
253,938959,1321479,caught
254,299572,1321479,caught
255,55870,1321479,caught
256,293831,1321484,lbw
257,55412,1321484,bowled
258,55870,1321484,caught
259,938959,1321484,caught
260,299572,1321484,lbw
261,951781,1321484,caught
262,495964,1321484,run out
263,1122853,1321484,bowled
264,541224,1321484,lbw
265,571703,1321484,caught
266,696145,1404390,caught
267,55412,1404390,caught
268,465327,1404390,caught
269,495964,1404390,caught
270,299572,1404390,caught
271,938959,1404390,caught
272,1045883,1404390,lbw
273,1122851,1404390,caught
274,806241,1404390,bowled
275,833777,1404391,caught
276,595790,1404391,run out
277,519070,1404391,lbw
278,833777,1404392,caught
279,595790,1404392,caught
280,519070,1404392,caught
281,482478,1404392,caught
282,541991,1404392,caught
283,596664,1404392,caught
284,465327,1404393,run out
285,713811,1404393,caught
286,299572,1404393,bowled
287,495964,1404393,caught
288,672775,1404393,caught
289,938959,1404393,caught
290,833777,1404394,caught
291,595790,1404394,caught
292,519070,1404394,caught
293,482478,1404394,lbw
294,553821,1404394,caught
295,596664,1404394,lbw
296,541991,1404394,caught
297,1071473,1404394,caught
298,698277,1404394,bowled
299,524075,1404394,caught
300,946507,1407091,bowled
301,696145,1407091,bowled
302,55412,1407091,caught
303,55870,1407091,caught
304,299572,1407091,caught
305,1045883,1407091,caught
306,672775,1407091,caught
307,571703,1407091,run out
308,465327,1407099,caught
309,946507,1407099,run out
310,55870,1407099,lbw
311,299572,1407099,caught
312,495964,1407099,caught
313,571703,1407099,bowled
314,1045883,1407099,bowled
315,299572,1407101,caught
316,946507,1407101,caught
317,696145,1407101,caught
318,55870,1407101,caught
319,1089932,1407104,bowled
320,403321,1407104,caught
321,1283583,1407104,run out
322,1176871,1407104,bowled
323,1143140,1407104,caught
324,1280658,1407104,bowled
325,1143139,1407104,caught
326,637526,1407104,caught
327,299572,1407107,caught
328,946507,1407107,caught
329,55870,1407107,caught
330,465327,1407107,stumped
331,39940,1162727,caught
